"","SITE_CODE","LATITUDE","LONGITUDE","WIPWL","PROJECT"
"1","04-BUCK-2.0",42.71334,-77.86745,"0404-0014","Undefined"
"2","04-CNEA-6.5",42.38255,-78.25355,"0403-0060","Undefined"
"3","04-OATK-4.2",43.01026,-77.79209,"0402-0027","Undefined"
"4","04-OATK-5.8",43.00563,-77.82015,"0402-0027","Undefined"
"5","04-OATK_T17-0.2",42.862,-78.05299,"0402-0031","Undefined"
"6","04-WCOY-16.5",42.576,-78.204,"0403-0019","Undefined"
"7","04-WCOY_N-2.6",42.612,-78.25699,"0403-0019","Undefined"
"8","04-WDIT-0.1",42.683558,-77.797583,"0404-0019","Undefined"
"9","04-CNEA-10.1",42.358923,-78.301007,"0403-0060","Undefined"
"10","04-CONE-1.9",42.89851,-77.76409,"0402-0038","Undefined"
"11","04-DUNN-0.1",42.541716,-77.91948,"0404-0028","Undefined"
"12","04-OATK_T17-0.4",42.864,-78.054,"0402-0031","Undefined"
"13","04-PATG-0.3",42.61027,-77.72497,"0404-0022","Undefined"
"14","04-WMRSG-0.2",42.0493,-77.9299,"0403-0074","Undefined"
"15","04-WOATK-53.3",42.681047,-78.110971,"0402-0058","Undefined"
"16","04-EKOY-10.4",42.63941,-78.13737,"0403-0045","Undefined"
"17","04-EKOY-2.2",42.53924,-78.09739,"0403-0020","Undefined"
"18","04-PERL-1.0",42.84831,-78.04304,"0402-0055","Undefined"
"19","04-PLBO-3.3",42.21377,-77.98157,"0403-0031","Undefined"
"20","04-WOLF-0.2",42.61456,-78.01183,"0403-0078","Undefined"
"21","04-GENS-35.1",42.91782,-77.75733,"0402-0009","Undefined"
"22","04-HONY-11.8",42.96682,-77.61338,"0402-0019","Undefined"
"23","04-RAGA_T40-0.2",42.47622,-77.84345,"0404-0002","Undefined"
"24","04-RICM_T9-0.4",42.72271,-77.50155,"0402-0045","Undefined"
"25","04-GENS-44.1",42.864352,-77.85034,"0402-0009","Undefined"
"26","04-HONY_T13-5.7",42.936542,-77.548448,"0402-0019","Undefined"
"27","04-HONY_T36-0.9",42.830186,-77.519034,"0402-0061","Undefined"
"28","04-HONY_T9-0.3",42.996457,-77.644052,"0402-0019","Undefined"
"29","04-RUSH-0.4",42.46475,-78.09518,"0403-0057","Undefined"
"30","04-SILO-3.6",42.71255,-77.96322,"0403-0034","Undefined"
"31","04-JCOX_S-3.7",42.794639,-77.770032,"0402-0064","Undefined"
"32","04-KNIT-0.3",42.17102,-77.98788,"0403-0035","Undefined"
"33","04-TBRU-0.1",42.571471,-78.17155,"0403-0047","Undefined"
"34","04-TOML-0.8",42.66397,-77.80641,"0404-0021","Undefined"
"35","04-UGNS-132.0",42.17073,-77.98468,"0403-0022","Undefined"
"36","04-LBRD-1.5",42.787953,-77.896488,"0402-0014","Undefined"
"37","04-LCON-0.6",42.8995,-77.75839,"0402-0075","Undefined"
"38","04-UGNS-146.5",42.02639,-77.90482,"0403-0001","Undefined"
"39","04-UGNS-60.8",42.77677,-77.84115,"0402-0009","Undefined"
"40","04-ANGL-1.1",42.29539,-78.05774,"0403-0026","Undefined"
"41","04-ANGL-12.5",42.300518,-77.882641,"0403-0026","Undefined"
"42","04-MARH_T13-1.9",42.0453,-77.72059,"0403-0027","Undefined"
"43","04-MCMI_S-5.0",42.694427,-77.64282,"0402-0078","Undefined"
"44","04-UGNS-97.8",42.479779,-78.065036,"0403-0038","Undefined"
"45","04-UGNS_T186-0.1",42.102116,-77.938592,"0403-0032","Undefined"
"46","04-ANGL-12.9",42.29833,-77.87631,"0403-0026","Undefined"
"47","04-BADN-8.7",42.580246,-77.738438,"0404-0020","Undefined"
"48","04-BEBE-1.5",42.86033,-77.53836,"0402-0067","Undefined"
"49","04-MILH-0.1",42.78913,-77.51446,"0402-0071","Undefined"
"50","04-MILH-0.9",42.78587,-77.49913,"0402-0071","Undefined"
"51","04-UGNS_T30-1.2",42.949618,-77.71784,"0402-0059","Undefined"
"52","04-VANM-8.2",42.22302,-77.8727,"0403-0011","Undefined"
"53","04-VCAM-0.4",42.25177,-78.05797,"0403-0025","Undefined"
"54","04-BIDW_T4-0.6",42.858199,-77.92603,"0402-0063","Undefined"
"55","04-MILH-3.7",42.77555,-77.45447,"0402-0071","Undefined"
"56","04-MILH_T13-0.1",42.771332,-77.451601,"0402-0071","Undefined"
"57","04-WCONI-0.6",42.715,-77.7121,"0402-0077","Undefined"
"58","04-WCOTN-0.2",42.68,-78.117,"unknown","Undefined"
"59","04-BLAK-34.9",43.0341,-78.07539,"0402-0048","Undefined"
"60","04-BLAK_N_T1-1.1",43.149342,-77.981212,"0402-0028","Undefined"
"61","04-MUCK-4.3",42.961785,-77.966507,"0402-0031","Undefined"
"62","04-NUND_T4-1.4",42.061322,-77.879,"0403-0036","Undefined"
"63","04-OATK-1.5",43.01923,-77.74744,"0402-0027","Undefined"
"64","04-WCOTN-0.5",42.677,-78.119,"unknown","Undefined"
"65","04-BLAK_T16-0.8",43.11474,-77.913668,"0402-0028","Undefined"
"66","04-BLCE-5.2",42.36841,-77.92116,"0403-0067","Undefined"
"67","04-WCOY-0.7",42.5001,-78.06837,"0403-0023","Undefined"
"68","04-WCOY-12.8",42.55634,-78.15485,"0403-0023","Undefined"
"69","03-STRL-12.5",43.258591,-76.631393,"0302-0054","Undefined"
"70","03-STRL-4.3",43.33389,-76.6525,"0302-0053","Undefined"
"71","03-THOM-0.7",43.10818,-77.46329,"0302-0023","Undefined"
"72","04-BLAK-14.7",43.0927,-77.86427,"0402-0033","Undefined"
"73","03-LSAM-11.2",43.427349,-76.187218,"0303-0015","Undefined"
"74","03-LSTN-1.0",43.802101,-76.2117,"0303-0019","Undefined"
"75","03-WMAXW-0.5",43.26459,-77.02496,"0302-0064","Undefined"
"76","03-WMLLO-0.8",43.2734,-77.31429,"0302-0072","Undefined"
"77","03-WOLC-4.0",43.225258,-76.81131,"0302-0013","Undefined"
"78","03-MAD-2.5",43.59889,-75.819,"0303-0077","Undefined"
"79","03-LTLC-1.0",43.284,-76.78099,"0302-0014","Undefined"
"80","03-MCRK-0.4",43.9528,-76.10246,"0303-0044","Undefined"
"81","03-WSECN-0.9",43.2361,-76.9754,"0302-0063","Undefined"
"82","03-WSTC-1.5",43.30418,-77.857742,"0301-0026","Undefined"
"83","03-MSHC-2.8",43.351933,-78.160187,"0301-0036","Undefined"
"84","03-ORCH-21.6",43.18979,-78.38674,"0301-0014","Undefined"
"85","03-WWHIO-1.5",43.05994,-77.385872,"0302-0030","Undefined"
"86","03-YANT-1.4",43.35043,-77.946243,"0301-0032","Undefined"
"87","03-ORCH-36.2",43.124167,-78.248417,"0301-0014","Undefined"
"88","03-ORCH-9.3",43.30103,-78.30943,"0301-0005","Undefined"
"89","03-ORCH_T28-2.1",43.098139,-78.25011,"0301-0014","Undefined"
"90","03-OTSC-0.8",43.276978,-77.850044,"0301-0029","Undefined"
"91","03-RAYS-9.1",43.7135,-75.91554,"0303-0056","Undefined"
"92","03-REDR-15.1",43.184383,-76.708267,"0302-0014","Undefined"
"93","03-REDR-2.6",43.29694,-76.76917,"0302-0014","Undefined"
"94","03-RAYS-5.0",43.749069,-75.964699,"0303-0056","Undefined"
"95","03-REDR-9.6",43.23901,-76.721245,"0302-0014","Undefined"
"96","03-SAGE-4.2",43.48312,-76.224731,"0303-0087","Undefined"
"97","03-SALM-7.8",43.55,-76.09444,"0303-0016","Undefined"
"98","03-SAND-2.7",43.74415,-76.18571,"0303-0005","Undefined"
"99","03-SKIN_T5-0.2",43.71098,-76.05319,"0303-0061","Undefined"
"100","03-SNDY-5.8",43.31379,-77.95428,"0301-0006","Undefined"
"101","03-SNDY_E-5.2",43.24,-77.99666,"0301-0051","Undefined"
"102","03-SNDY_E-9.0",43.19944,-78.02611,"0301-0051","Undefined"
"103","03-SKIN_T4-2.6",43.6987,-76.02888,"0303-0061","Undefined"
"104","03-SSAN-14.1",43.77639,-76.01805,"0303-0053","Undefined"
"105","03-SSAN-6.3",43.73694,-76.13222,"0303-0021","Undefined"
"106","03-STNE-3.8",43.84555,-76.18139,"0303-0009","Undefined"
"107","05-COHO-1.4",42.16751,-77.10477,"0502-0010","Undefined"
"108","05-COHO-13.5",42.28978,-77.22628,"0502-0017","Undefined"
"109","05-MCHE-1.5",42.29771,-77.76152,"0503-0026","Undefined"
"110","05-MDCR-0.9",42.29023,-77.22003,"0502-0025","Undefined"
"111","05-MEAD-2.1",42.19293,-77.141882,"0502-0008","Undefined"
"112","05-COHO-11.1",42.252483,-77.21677,"0502-0010","Undefined"
"113","05-COHO-17.3",42.3124,-77.28228,"0502-0017","Undefined"
"114","05-MIGA-0.4",42.22966,-77.20564,"0502-0023","Undefined"
"115","05-NEWT_T30-0.4",42.201117,-76.663515,"0501-0030","Undefined"
"116","05-COHO-23.6",42.36982,-77.36546,"0502-0003","Undefined"
"117","05-COHO-33.6",42.46141,-77.47239,"0502-0003","Undefined"
"118","05-POSC-1.3",42.1587,-77.05452,"0501-0047","Undefined"
"119","05-COHO-5.9",42.20678,-77.16419,"0502-0010","Undefined"
"120","05-COHO-50.9",42.59906,-77.5289,"0502-0018","Undefined"
"121","05-POSC_T5-0.9",42.226545,-76.972573,"0501-0004","Undefined"
"122","05-SAMO-1.2",42.40842,-77.4125,"0502-0036","Undefined"
"123","05-COHO-37.2",42.49526,-77.50321,"0502-0003","Undefined"
"124","05-SEEL-4.0",42.05278,-76.82195,"0501-0013","Undefined"
"125","05-COHO-7.4",42.223251,-77.173208,"0502-0010","Undefined"
"126","05-COHO-8.9",42.230494,-77.19787,"0502-0010","Undefined"
"127","05-SEEL-7.6",42.0334,-76.8772,"0501-0013","Undefined"
"128","05-STEO-28.7",42.25261,-77.51771,"0503-0012","Undefined"
"129","05-COON-0.7",42.29123,-77.04916,"0502-0019","Undefined"
"130","05-STEO-55.4",42.36968,-77.854257,"0503-0013","Undefined"
"131","05-STEO-9.7",42.11616,-77.29912,"0503-0006","Undefined"
"132","05-CUTH-0.6",42.13489,-76.92788,"0501-0044","Undefined"
"133","05-DRUN-3.0",42.244,-77.10099,"0502-0020","Undefined"
